id,injection structure,injection dmn fraction,projection dmn fraction,distance coefficient,DMN coefficient,DMN t values,DMN p values,injection core fraction,projection core fraction,core distance coefficient,DMN core coefficient,core t values,core p values
571816813,ORBl,1.0,0.9291993945117196,-0.0018053388209923983,0.0446193545448347,[  -98.85074764    59.36634135 -1792.77645633],[0. 0. 0.],0.9999226975444094,0.861042546829196,-0.0017947075540750684,0.05469764251047624,[ -100.32122995    70.34141432 -1893.79867091],[0. 0. 0.]
572390577,ORBl,0.999656313549078,0.8752503709647502,-0.002646164936779688,0.03846008879668768,[ -122.81965339    42.20887624 -1448.21647811],[0. 0. 0.],0.9816947914022317,0.7659921723396856,-0.002687863754884989,0.0394655275425594,[ -126.53785898    41.57572989 -1516.16346932],[0. 0. 0.]
609157409,PL,0.9999091502446358,0.8434930818498022,-0.004403928082632478,0.035543977264811975,[-114.10902285   23.59745816 -830.85804458],[0.0000000e+000 7.7290993e-123 0.0000000e+000],0.9999091502446358,0.7771756732905096,-0.004373123948483725,0.042127342002888785,[-114.50870054   26.77333472 -869.18979215],[0.00000000e+000 1.89138231e-157 0.00000000e+000]
595259180,RSPagl,0.9384890009285253,0.8322870783505973,-0.0009109000931300055,0.004313275959791661,[  -95.16001585    12.82659924 -3707.17643383],[0.00000000e+00 1.23036162e-37 0.00000000e+00],0.7080874600941824,0.6465711629167311,-0.0009404631397083428,0.0006743670963157149,[-9.64526687e+01  1.86839944e+00 -3.68619722e+03],[0.        0.0617088 0.       ]
521255975,RSPv,0.05365988827998387,0.6003921129899462,-0.0016159948713104293,0.004499294293685261,[ -103.65968921     8.92928871 -2358.17885818],[0.00000000e+00 4.34481431e-19 0.00000000e+00],0.0,0.47117951051609586,-0.001647557859464045,0.00032903161898961675,[-1.04088280e+02  6.10510920e-01 -2.34585222e+03],[0.         0.54152454 0.        ]
555012592,RSPv,1.0,0.8758068927830931,-0.0028360236967999285,0.011744824369351953,[ -125.90787325    15.928652   -1546.51484666],[0.00000000e+00 4.57422886e-57 0.00000000e+00],1.0,0.8536032379713673,-0.0027808306388189775,0.01537902288065636,[ -120.53499904    19.33429304 -1533.7016909 ],[0.00000000e+00 3.67721514e-83 0.00000000e+00]
561511939,RSPv,0.39928813789254564,0.7082943839896619,-0.002408503390097994,0.0068719765542246385,[ -122.17162293    11.73338392 -1903.89397651],[0.00000000e+00 8.93741164e-32 0.00000000e+00],0.03999563780856192,0.5798051173187792,-0.002441541111758911,0.003218108355193352,[ -121.25019134     5.11056703 -1883.3890257 ],[0.00000000e+00 3.21672369e-07 0.00000000e+00]
570071403,RSPv,1.0,0.8720688413707589,-0.0009640955368455048,0.0038469271287404558,[  -84.09228115    10.31069932 -3214.78397359],[0.00000000e+00 6.45304375e-25 0.00000000e+00],1.0,0.8557307984933228,-0.0009426582079288671,0.00535874158959786,[  -80.35783799    13.3403935  -3187.26397971],[0.0000000e+00 1.4378651e-40 0.0000000e+00]
571647261,RSPv,1.0,0.8357667317975447,-0.0035785198868830467,0.009696537106831521,[ -141.74438438    11.71362798 -1352.67592774],[0.00000e+00 1.12853e-31 0.00000e+00],1.0,0.8000393932343915,-0.0035623619305081644,0.01012887966781481,[ -137.66152826    11.31745994 -1338.53004477],[0.00000000e+00 1.11266815e-29 0.00000000e+00]
569623967,TEa,0.0,0.2286280996781507,-0.002000275359121761,-0.014941336795919063,[ -150.16475073   -22.93583787 -2096.38426008],[0.00000000e+000 3.60397596e-116 0.00000000e+000],0.0,0.1558900774365388,-0.0020103630351737487,-0.019460544849273124,[ -151.03647874   -28.29986254 -2114.94430877],[0.00000000e+000 1.29209529e-175 0.00000000e+000]
613898292,VISam,1.0,0.8097996147421205,-0.001165780613996011,0.008480673945531226,[ -102.53873964    20.60191767 -3164.20210453],[0.0000000e+00 3.8078486e-94 0.0000000e+00],0.9686353153734721,0.7133461318153116,-0.001169194590822075,0.007369149728371191,[ -101.12488302    16.72057527 -3162.03256528],[0.00000000e+00 1.08900646e-62 0.00000000e+00]
651703553,VISam,1.0,0.7893280810800405,-0.0006259121778073816,0.0035295868643097595,[  -79.37290178    12.20846852 -4582.07878347],[0.00000000e+00 2.93205858e-34 0.00000000e+00],0.9216377310997251,0.6694439032439582,-0.0006328052398882522,0.002394502802215033,[  -79.0298631      7.75013365 -4584.28237533],[0.00000000e+00 9.24931416e-15 0.00000000e+00]
601885751,VISpor,0.0,0.101816066817798,-0.0006670440227945016,-0.009032722317244342,[  -98.11313544   -28.05020742 -4270.50791084],[0.00000000e+000 1.43281723e-172 0.00000000e+000],0.0,0.0742048333666677,-0.0006730554966713493,-0.009187512731535771,[  -98.95772419   -26.89023579 -4293.01233558],[0.00000000e+000 8.44874084e-159 0.00000000e+000]
526783792,ORBvl,1.0,0.903011487701586,-0.0023048075960546534,0.0364595379417163,[ -108.23534103    42.44165135 -1521.30453643],[0. 0. 0.],1.0,0.8330963454165373,-0.0022832638746129053,0.044841902178550316,[ -109.20303878    50.38506472 -1603.7518462 ],[0. 0. 0.]
617901499,RSPagl,0.995355967175722,0.8017582574464551,-0.0030916746135434135,0.01803422535471188,[ -128.96379776    22.19926588 -1456.81411403],[0.00000000e+000 5.76622195e-109 0.00000000e+000],0.9685877376478981,0.7181309823184548,-0.0030833957745132314,0.017235295588451625,[ -125.23895602    19.52383571 -1441.64008319],[0.00000000e+00 9.30343766e-85 0.00000000e+00]
475830603,RSPv,0.9997448771157873,0.9141132590007572,-0.00341298805444654,0.009542110925141348,[ -125.95348072    11.72654374 -1368.34971791],[0.00000000e+00 9.69231476e-32 0.00000000e+00],0.9997448771157873,0.8938141743029426,-0.0033353479458776516,0.013758790412947957,[ -118.59319726    15.42846822 -1343.3883119 ],[0.00000000e+00 1.18419527e-53 0.00000000e+00]
502592260,VISp,0.022372951426363908,0.22125174793302488,-0.0012304010208179432,-0.012472073288553875,[ -114.21723041   -27.99518935 -2997.35475025],[0.00000000e+000 6.48274008e-172 0.00000000e+000],0.010140401064923778,0.13885661092997584,-0.0012535512138440036,-0.01638353184840509,[ -115.94159399   -34.78093149 -3017.28905347],[0.00000000e+000 9.17263786e-264 0.00000000e+000]
524267323,ORBm,0.9055387382220589,0.7666796799150759,-0.0029450511087789487,0.014799811329184204,[ -119.01172594    14.2936027  -1248.44793747],[0.00000000e+00 2.61371373e-46 0.00000000e+00],0.9055387382220589,0.6931097622116449,-0.0029280960007045565,0.018318335572353732,[ -119.58541269    17.03184737 -1303.37801157],[0.00000000e+00 5.66491492e-65 0.00000000e+00]
523177830,ORBvl,1.0,0.9094297423658487,-0.001367504250142486,0.017109921447168473,[  -92.67593874    28.61950537 -2243.15671984],[0.00000000e+000 1.51675764e-179 0.00000000e+000],1.0,0.8403296122200984,-0.0013567660544804641,0.02001959300580424,[  -92.81113486    32.26090314 -2331.93106669],[0.0000000e+000 2.2619798e-227 0.0000000e+000]
606260719,PL,1.0,0.8977258130345216,-0.0026887738420569977,0.02437133591639884,[ -106.97439876    24.85508346 -1361.22353109],[0.00000000e+000 5.00202607e-136 0.00000000e+000],1.0,0.8702318703038819,-0.0025532079434724734,0.038338408939049946,[ -102.26666827    37.59012409 -1418.6992778 ],[0.00000000e+000 1.85920845e-307 0.00000000e+000]
529428776,TEa,0.0,0.30139352546727566,-0.0009044251083768465,-0.0034838877081287585,[ -106.44868122    -8.53640543 -3444.08846171],[0.00000000e+00 1.40009056e-17 0.00000000e+00],0.0,0.23905417918100466,-0.0009060607824999113,-0.0036962841947782367,[ -106.72114728    -8.63249137 -3468.47007627],[0.00000000e+00 6.07311129e-18 0.00000000e+00]
521617657,TEa,0.0,0.144449527462378,-0.0038485274783517445,-0.041175558777882974,[ -204.45480864   -45.17686815 -1363.28518915],[0. 0. 0.],0.0,0.1004973092818669,-0.0038670378581230442,-0.04101715471353503,[ -205.36847454   -42.78730216 -1375.53658308],[0. 0. 0.]
501837158,VISp,0.00028660195102748776,0.07615463232213351,-0.0003394306147366424,-0.004957704929874163,[  -64.43348022   -22.87877199 -6164.32112405],[0.0000000e+000 1.3222848e-115 0.0000000e+000],0.0,0.04145423091440888,-0.00034595494902386106,-0.005652056867002146,[  -65.33211231   -24.68761247 -6186.75077414],[0.00000000e+000 3.09812265e-134 0.00000000e+000]
601904029,SSp-tr,1.0,0.8217354004992251,-0.0008766317518061261,0.004536041703266663,[  -63.34527909     9.87890016 -2758.91701738],[0.00000000e+00 5.24246542e-23 0.00000000e+00],1.0,0.793044746838888,-0.0008354374972116852,0.007281485300804827,[  -58.66411417    14.66246687 -2738.78605209],[0.00000000e+00 1.23329951e-48 0.00000000e+00]
475829896,ACAd,0.996743224231412,0.9083663421546785,-0.0032073041239608093,0.03828403344816002,[ -76.17306516   30.25049892 -931.14875531],[0.00000000e+000 2.79844193e-200 0.00000000e+000],0.996743224231412,0.8825581587327831,-0.002680481113746181,0.06315724975254311,[ -61.14942617   45.55660033 -932.21762756],[0. 0. 0.]
572595932,RSPagl,0.9996617310512854,0.9445426058882311,-0.0019655198651206116,0.010476216199600288,[ -111.59720395    18.85739168 -2162.2530826 ],[0.00000000e+00 3.30643048e-79 0.00000000e+00],0.9733933702902675,0.9279566597332098,-0.0018675607470050404,0.01631230722395093,[ -102.61531292    26.99935834 -2138.51783094],[0.00000000e+000 4.41861443e-160 0.00000000e+000]
529129011,RSPd,0.9958410309640247,0.7883201686188707,-0.0014914450476956977,-0.0013401777733270531,[ -102.28647211    -2.77894875 -2489.76184296],[0.         0.00545437 0.        ],0.9958410309640247,0.7388679762582037,-0.0015079266583105772,-0.002555508111089474,[ -100.41207561    -4.83346802 -2455.4968061 ],[0.00000000e+00 1.34341485e-06 0.00000000e+00]
475828414,RSPv,1.0,0.9154111818142929,-0.0026080830872979386,0.0015054487990187482,[ -114.97328203     2.34582709 -1735.22869002],[0.         0.01898649 0.        ],1.0,0.9060964119875222,-0.0025225240250469133,0.006008026663559313,[ -106.08651739     8.48204658 -1689.85945701],[0.00000000e+00 2.23672693e-17 0.00000000e+00]
570461017,SSp-ll,0.9996487368169228,0.9404124304896653,-0.001239390079935899,0.009640303365618861,[  -79.57556958    18.16510118 -2460.76588603],[0.00000000e+00 1.21854826e-73 0.00000000e+00],0.9996487368169228,0.9332285950834122,-0.001161009333844285,0.015425474929038995,[  -72.94622393    27.00013752 -2465.72923813],[0.0000000e+000 4.3405358e-160 0.0000000e+000]
572771153,VISrl,0.9998529732404481,0.7977468559135604,-0.0006483298595193779,0.008150999115182281,[  -76.97628116    23.08098396 -4082.50745353],[0.00000000e+000 1.28080935e-117 0.00000000e+000],0.6766620087703582,0.6334384646182804,-0.0006528423742178695,0.0062643861299338756,[  -76.95144345    16.72540442 -4114.69924808],[0.00000000e+00 1.00446963e-62 0.00000000e+00]
591168591,VISam,0.9891881796810627,0.7276252300499079,-0.006627510224961446,0.028544390690383302,[-180.49744849   21.96681449 -840.69589622],[0.00000000e+000 9.71682966e-107 0.00000000e+000],0.8328983529704355,0.6181442129146278,-0.006711293162595721,0.018175093911445644,[-178.7450486    12.93749218 -831.62643167],[0.00000000e+00 2.93291039e-38 0.00000000e+00]
649362978,ACAd,1.0,0.9504222583220221,-0.001795788776967006,0.021036199431393825,[  -83.10100957    28.34518577 -1784.51364876],[0.00000000e+000 3.59668097e-176 0.00000000e+000],1.0,0.9357719355224725,-0.0015837648784722397,0.03559215390250892,[  -72.95073152    45.2899452  -1844.88199892],[0. 0. 0.]
475733382,ACAv,1.0,0.9609354477237572,-0.0024027549475292547,0.02979179475944098,[  -87.70161563    33.1418679  -1426.75800555],[0.00000000e+000 8.62076091e-240 0.00000000e+000],1.0,0.9483300976237786,-0.0021154650408185052,0.04972222496137183,[  -77.41101461    52.61760535 -1488.31541265],[0. 0. 0.]
575683857,PL,1.0,0.8634118779950801,-0.000702067351490253,0.004742920163813622,[  -60.68443383    10.67433033 -3152.1590348 ],[0.00000000e+00 1.37868938e-26 0.00000000e+00],1.0,0.8254753298195491,-0.0006641282765251308,0.008742331815060183,[  -58.0362598     18.9098517  -3303.24018775],[0.00000000e+00 1.22794594e-79 0.00000000e+00]
569932566,ACAv,1.0,0.9735821169971257,-0.002562742289283702,0.03588725165640964,[  -87.56641269    36.27824152 -1305.82320241],[0.00000000e+000 1.21290539e-286 0.00000000e+000],1.0,0.9599366791512969,-0.0022914745501382,0.05694414888160962,[  -78.86014109    54.94035765 -1368.86273744],[0. 0. 0.]
528511254,ACAv,1.0,0.9733259946841534,-0.003194887677732338,0.03929175641816404,[  -91.41310832    34.78799841 -1107.07811651],[0.00000000e+000 7.31716937e-264 0.00000000e+000],1.0,0.9641882662920616,-0.002767048111810251,0.06649220657304038,[  -78.95440374    55.66174466 -1152.64332397],[0. 0. 0.]
475616836,AIv,0.9873646034141937,0.5655232762327619,-0.0041784687111638625,0.011364085016761005,[ -166.5790644     10.55982441 -1099.50048008],[0.00000000e+00 4.69560286e-26 0.00000000e+00],0.0,0.25843530304583767,-0.004294008496285843,-0.02263108900843064,[ -172.67739683   -20.08007972 -1129.72716294],[0.0000000e+00 1.5405949e-89 0.0000000e+00]
484612961,ECT,0.0,0.22565443215802497,-0.0014318424383365598,-0.00802743541755365,[ -121.79075152   -14.19152705 -2384.12481813],[0.00000000e+00 1.12343366e-45 0.00000000e+00],0.0,0.1973602299688818,-0.0014371888649441485,-0.004852298943963757,[ -122.27203123    -8.15178055 -2402.95265349],[0.00000000e+00 3.61931679e-16 0.00000000e+00]
528511967,ECT,0.0,0.1933612767833195,-0.0012862124606687795,-0.011336025629934497,[ -105.30559098   -19.06752906 -2289.20513636],[0.00000000e+00 6.15435271e-81 0.00000000e+00],0.0,0.16417986163402254,-0.0012922775385773224,-0.008533498453315202,[ -105.79821791   -13.63400083 -2308.29514147],[0.00000000e+00 2.69886189e-42 0.00000000e+00]
529435133,ILA,1.0,0.9515754603691414,-0.0005479356129343737,0.0028492895867768893,[  -53.91744005     8.00578462 -3783.11170715],[0.00000000e+00 1.19735245e-15 0.00000000e+00],1.0,0.9365906229268687,-0.000511648375440156,0.0061799173709281225,[  -50.94114859    16.68189632 -3961.68016341],[0.00000000e+00 2.08000796e-62 0.00000000e+00]
592522663,RSPv,0.30314660900316476,0.6193845951077579,-0.0005319060749199378,0.003102128848833473,[  -55.96741538    10.04339787 -3977.75430631],[0.00000000e+00 1.00353946e-23 0.00000000e+00],0.0,0.46405918917376915,-0.0005405346622283647,0.0017436981214779892,[  -55.91454859     5.24834895 -3953.55480517],[0.00000000e+00 1.53725865e-07 0.00000000e+00]
623838656,RSPv,0.0005714576929030734,0.5625066313848593,-0.0007219799259421953,0.003021944606457812,[  -59.75325411     7.78460859 -3143.69319913],[0.00000000e+00 7.04746627e-15 0.00000000e+00],0.0,0.49878743450895374,-0.000721116855521834,0.0027370160587195757,[  -58.72166823     6.57489654 -3129.08466268],[0.00000000e+00 4.88822989e-11 0.00000000e+00]
607059419,ACAd,1.0,0.83414138900234,-0.0045060898980921705,0.07122003876455425,[ -74.23779082   40.42250661 -625.41559857],[0. 0. 0.],1.0,0.7892496415805709,-0.0037730469230652015,0.10319205394120616,[ -59.21722759   53.00233792 -622.82690188],[0. 0. 0.]
607052300,ACAv,1.0,0.9370751625009703,-0.0004968175287935282,0.0006426259730498307,[-4.43475605e+01  2.02746330e+00 -3.89440527e+03],[0.        0.0426172 0.       ],1.0,0.9105737411443927,-0.00046233504080950706,0.0022855991760495596,[  -40.06994081     6.65481008 -3892.86444496],[0.00000000e+00 2.84847594e-11 0.00000000e+00]
479115470,ORBvl,1.0,0.9074865944195998,-0.001519322747856741,0.04426411925380238,[  -76.0140531     54.19960508 -1639.30325886],[0. 0. 0.],1.0,0.8375899488486104,-0.001529778110785443,0.05003707317480644,[  -77.87913972    59.23899903 -1724.0739825 ],[0. 0. 0.]
478678606,VISam,0.8164530690256898,0.8017700870260392,-0.0009763970160006461,0.004791157844271206,[  -87.41274559    12.12093662 -3252.32920168],[0.0000000e+00 8.5530036e-34 0.0000000e+00],0.6506294500908953,0.657350738350492,-0.000991448884992897,0.0027827905122363612,[  -87.17105609     6.57102192 -3243.59375876],[0.00000000e+00 5.01691805e-11 0.00000000e+00]
501786400,VISp,0.00038692591974962443,0.14947719859480402,-0.004564985438510635,-0.050108062514889896,[ -189.21312371   -50.92195584 -1159.16913719],[0. 0. 0.],0.0,0.10324958405235152,-0.004650059281217606,-0.060836752074834306,[ -192.21411322   -58.66096505 -1162.60226639],[0. 0. 0.]
501787135,VISp,0.0,0.09231321512368044,-0.001839935204700495,-0.025979938022066818,[ -130.94479464   -45.08492497 -2218.89820237],[0. 0. 0.],0.0,0.06035899161110721,-0.001873158883625932,-0.02922978907612095,[ -132.71656766   -48.02209185 -2227.91350312],[0. 0. 0.]
623286726,ACAv,1.0,0.963960533921152,-0.0018911419225637544,0.026327761675617272,[  -74.33071936    31.96441593 -1565.7952674 ],[0.00000000e+000 2.82802043e-223 0.00000000e+000],1.0,0.9473180342699444,-0.0016590565560823441,0.04215207311508393,[  -65.31550026    48.71471948 -1628.82073322],[0. 0. 0.]
475617622,ORBm,0.9966127214380381,0.8418921182046184,-0.0020378712961808404,0.04726005713173449,[  -82.62737017    48.11126558 -1314.37708766],[0. 0. 0.],0.9963263545525995,0.7671064770983224,-0.002022436599000207,0.05643797588826121,[  -83.5496855     55.59755213 -1385.12865812],[0. 0. 0.]
664716091,RSPv,0.7236196530215073,0.5250233164283997,-0.003136722230891369,-0.019779166323909667,[ -146.83765625   -27.26435207 -1578.08157075],[0.00000000e+000 3.44511401e-163 0.00000000e+000],0.3606705739387645,0.28242424626538726,-0.0033012821999160924,-0.03803350426087365,[ -153.52399288   -49.51225337 -1575.76974897],[0. 0. 0.]
561986735,VISam,0.8621921502450812,0.717336631698099,-0.004983148410362477,0.015965799323905835,[ -173.38399392    15.58966719 -1111.92798879],[0.00000000e+00 9.66047942e-55 0.00000000e+00],0.7042781200235829,0.605839435900118,-0.005022818449384501,0.010063850551683207,[ -171.69699595     9.16939026 -1106.13612299],[0.00000000e+00 4.82765647e-20 0.00000000e+00]
571653937,VISl,0.0,0.23095125131198957,-0.0033306819351365713,-0.027391238346963942,[ -165.68985234   -29.88670384 -1389.03898016],[0.00000000e+000 1.48744471e-195 0.00000000e+000],0.0,0.16409361394705688,-0.003357969265058946,-0.03464151133327099,[ -167.01689115   -35.86315474 -1400.42893785],[0.00000000e+000 3.30048435e-280 0.00000000e+000]
607321130,ACAd,1.0,0.9608232152854932,-0.0014487341461626826,0.005784466340693923,[  -74.45953442    10.08331056 -2150.4447737 ],[0.00000000e+00 6.68973952e-24 0.00000000e+00],1.0,0.9477410657725003,-0.0012774738570648452,0.013886669606724501,[  -63.06490751    22.09577894 -2134.53985618],[0.00000000e+000 5.63430097e-108 0.00000000e+000]
528741104,ACAd,1.0,0.9406664517061971,-0.002522598797061376,0.03557010196335777,[  -78.06573913    35.89185021 -1240.76380379],[0.00000000e+000 1.17438829e-280 0.00000000e+000],1.0,0.9214020878275969,-0.0020809501649323952,0.05820025668013772,[  -62.75249864    54.35037246 -1258.89960782],[0. 0. 0.]
571401645,ACAd,1.0,0.9286764946030296,-0.003406202997667079,0.03215362016163583,[  -92.45432153    28.9159002  -1068.1987961 ],[0.00000000e+000 3.16379274e-183 0.00000000e+000],1.0,0.9108930673991175,-0.002902302104599469,0.05705633914554182,[  -76.1810755    46.9639046 -1076.8051663],[0. 0. 0.]
572753855,MOs,1.0,0.8724979031437513,-0.002538383707713776,0.02741526465741499,[  -93.52425064    29.35775788 -1366.1166552 ],[0.00000000e+000 8.69517892e-189 0.00000000e+000],1.0,0.8275176578849598,-0.0023622178581861096,0.039022550979209966,[  -85.66996195    38.96154187 -1392.83769067],[0. 0. 0.]
573331541,RSPagl,0.9655220531969964,0.9196770812185875,-0.001883113919750746,0.009102556965972028,[ -115.62955157    17.7980808  -2348.13470837],[0.00000000e+00 8.97325253e-71 0.00000000e+00],0.8908909587169491,0.8750471034159649,-0.0018435977292977912,0.011250098966775904,[ -109.92813585    20.30126457 -2322.66057305],[0.00000000e+00 1.77053574e-91 0.00000000e+00]
553080579,VISl,0.0,0.15139576735395877,-0.0011599743578278546,-0.012477031400301769,[ -121.80191254   -28.86093708 -3105.03147518],[0.000000e+000 1.510807e-182 0.000000e+000],0.0,0.1077312038822045,-0.0011692491750124666,-0.013573903899422259,[ -122.74569215   -29.83684052 -3122.83782632],[0.00000000e+000 6.49500513e-195 0.00000000e+000]
